,X,Season_playerid,PA,X1B,X2B,HR,R,RBI,BB,IBB,SO,GDP,SB,CS,AVG,BB.,K.,BB.K,OBP,SLG,ISO,BABIP,wRC,WAR,Spd,wRC.,WPA,SAC
40,40,2002 _ 409,0.158127231,-1.678716493,-1.133919627,3.303930996,1.585581433,2.006030341,3.090820575,2.420293922,-1.629975174,1.423976005,-0.803361252,0.710904782,0.985079013,19.90%,22.70%,0.218371027,2.70167151,3.233985928,3.421578334,0.64959655,2.608401119,2.093795487,-1.274813095,3.087210568,2.518988547,-0.460632001
41,41,1953 _ 1009405,1.354052417,-0.429668215,2.6600506,0.862679383,2.30688413,1.163354328,1.692151478,NA,1.717623788,0.684811221,-0.677515124,0.360485243,2.181519382,15.00%,4.60%,5.15419971,2.48250166,2.318154714,1.798693469,0.681971584,3.079470411,2.189031403,0.069634439,2.133306974,NA,NA
42,42,1950 _ 1009405,0.608357889,0.450561329,1.616041285,0.887816557,1.502778962,1.358877631,1.244668671,NA,1.533159455,0.358045518,-0.514515963,NA,2.507821301,13.50%,5.60%,3.385527765,2.48250166,2.143069335,1.445193796,1.135222058,2.522752156,1.760469781,0.069634439,2.252544923,NA,NA
43,43,2002 _ 210,-1.178495034,0.101486027,1.301932601,2.071768651,1.476397509,2.393374262,1.418609823,2.144097371,-0.47047168,-0.60540947,-0.880346877,1.174148794,2.616588607,14.10%,16.40%,0.177239122,2.838652666,2.829942745,2.216465811,2.397848377,1.623438053,1.141436326,-1.885925611,2.928226636,1.170248467,-1.518162427
44,44,1999 _ 210,0.538009349,-0.759626586,0.734513774,2.365977953,3.261308893,3.804464123,1.679780008,0.61173578,-1.221654222,0.154897968,-0.73287129,0.286746984,2.036496307,15.00%,20.50%,-0.090118265,2.619482816,3.045432443,2.730647154,2.138848107,2.908172486,2.189031403,-0.358144322,2.411528856,2.181803527,0.114682301
45,45,1953 _ 1012230,1.100797671,0.023086612,0.967317887,1.958490204,2.817661604,1.807735084,0.833183289,NA,0.116852428,0.639379268,0.230057543,-0.287454188,2.145263613,12.10%,13.20%,0.280068886,1.989369498,2.560580624,2.120056809,1.361847295,2.908172486,2.808064858,0.619635703,2.133306974,NA,NA
46,46,2008 _ 1177,0.552079057,-0.056831409,2.044681569,1.722676618,1.218015668,1.688598327,2.032286504,5.218990251,1.007090542,-0.589173511,-0.364987571,0.509635738,2.906634757,16.20%,8.40%,2.377796076,3.167407441,2.910751382,2.184329477,1.329472261,2.779699043,2.7604469,-1.030368089,2.888480653,2.646043772,-0.098239068
47,47,1992 _ 1109,0.144057523,-1.729160217,1.215642274,1.59627887,2.145546677,1.339835193,3.335346925,5.129806273,0.47968354,0.639379268,2.126998428,-0.681854993,1.238869394,20.80%,11.30%,2.1927025,3.003030053,2.520176305,2.457488315,0.034470907,2.137331826,3.189008523,1.475193224,3.444924416,2.367499625,-0.238561277
48,48,1998 _ 455,-1.094076786,0.367713514,3.660974025,0.915950232,3.721388653,0.226409294,0.877775025,-0.599270721,0.411825813,-0.113735313,0.380513104,0.090299254,3.12416937,12.20%,11.60%,0.567992226,2.70167151,2.600984942,1.718352635,2.689223682,1.709087015,0.998582451,1.047414463,1.894831076,0.759762356,-1.264286531
49,49,1954 _ 1009405,1.452540373,-0.384089643,1.159284966,1.251508845,1.814304627,1.626816345,1.567500869,NA,1.542315509,-0.997424092,-0.813407603,-0.235624295,1.927729001,14.60%,5.50%,3.837978728,2.235935579,2.291218502,1.879034304,0.196346076,2.865348005,2.093795487,-0.113699316,2.093560991,NA,-0.44163466
